Movie_Name,Movie_Description,Movie_Date_Of_Release,Movie_Genres,Movie_Rate,Movie_Metascore,Movie_Length,Movie_Votes,Movie_Restriction,Movie_Gross
300: Rise of an Empire,"Greek general Themistocles of Athens leads the naval charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",2014,"Action, Drama",6.2,48.0,102,298768,R,"106,580,051"
Jack Ryan: Shadow Recruit,"Jack Ryan, as a young covert C.I.A. analyst, uncovers a Russian plot to crash the U.S. economy with a terrorist attack.",2014,"Action, Drama, Thriller",6.2,57.0,105,131128,PG-13,"50,577,412"
Takers,A group of bank robbers find their multi-million dollar plan interrupted by a hard-boiled detective.,2010,"Action, Crime, Thriller",6.2,45.0,107,62467,PG-13,"57,744,720"
The Eagle,"In Roman-ruled Britain, a young Roman soldier endeavors to honor his father's memory by finding his lost legion's golden emblem.",2011,"Action, Adventure, Drama",6.2,55.0,114,70143,PG-13,"19,490,041"
The Warrior's Way,A warrior-assassin is forced to hide in a small town in the American Badlands after refusing a mission.,2010,"Action, Fantasy, Western",6.2,45.0,100,26381,R,"5,664,251"
The Legend of Tarzan,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",2016,"Action, Adventure, Drama",6.2,44.0,110,175908,PG-13,"126,643,061"
Dracula Untold,"As his kingdom is being threatened by the Turks, young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family, and the families of his kingdom.",2014,"Action, Drama, Fantasy",6.2,40.0,92,193519,PG-13,"56,280,355"
Ong Bak 2,A young Thai boxer learns the skills and inner meaning of martial arts.,2008,Action,6.2,47.0,98,30731,R,"102,055"
War,"An FBI Agent seeks vengeance on a mysterious assassin known as ""Rogue"" who murdered his partner.",2007,"Action, Crime, Thriller",6.2,36.0,103,90740,R,"22,486,409"
Rogue,An American journalist on assignment in the Australian outback encounters a man-eating crocodile while trapped on a rapidly flooding mud island.,2007,"Action, Drama, Horror",6.2,,99,30405,R,"10,452"
Tower Heist,"When a group of hard-working guys find out they've fallen victim to their wealthy employer's Ponzi scheme, they conspire to rob his high-rise residence.",2011,"Action, Comedy, Crime",6.2,59.0,104,142380,PG-13,"78,046,570"
Hitman I,"A gun-for-hire known only as Agent 47 hired by a group known only as 'The Organization' is ensnared in a political conspiracy, which finds him pursued by both Interpol and the Russian military as he treks across Russia and Eastern Europe.",2007,"Action, Crime, Thriller",6.2,35.0,100,169483,R,"39,687,694"
Outlander,"During the reign of the Vikings, Kainan, a man from a far-off world, crash lands on Earth, bringing with him an alien predator known as the Moorwen. Though both man and monster are seeking revenge for violence committed against them, Kainan leads the alliance to kill the Moorwen by fusing his advanced technology with the Viking's Iron Age weaponry.",2008,"Action, Adventure, Sci-Fi",6.2,40.0,115,75592,R,"160,641"
TMNT,"When the world is threatened by an ancient evil, the four adolescent turtles must reunite and overcome their faults in order to stand against it.",2007,"Animation, Action, Adventure",6.2,41.0,87,64476,PG,"54,149,098"
Knowing,M.I.T. professor John Koestler links a mysterious list of numbers from a time capsule to past and future disasters and sets out to prevent the ultimate catastrophe.,2009,"Action, Mystery, Sci-Fi",6.2,41.0,121,233285,PG-13,"79,957,634"
Next,A Las Vegas magician who can see into the future is pursued by FBI agents seeking to use his abilities to prevent a nuclear terrorist attack.,2007,"Action, Sci-Fi, Thriller",6.2,42.0,96,158027,PG-13,"18,211,013"
Resident Evil: Extinction,"Survivors of the Raccoon City catastrophe travel across the Nevada desert, hoping to make it to Alaska. Alice joins the caravan and their fight against the evil Umbrella Corp.",2007,"Action, Horror, Sci-Fi",6.2,41.0,94,194343,R,"50,648,679"
Feast,Patrons locked inside a bar are forced to fight monsters.,2005,"Action, Comedy, Horror",6.2,43.0,95,31866,R,"54,556"
Spider-Man 3,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",2007,"Action, Adventure, Sci-Fi",6.2,59.0,139,578642,PG-13,"336,530,303"
Zathura: A Space Adventure,Two young brothers are drawn into an intergalactic adventure when their house is hurled through the depths of space by the magical board game they are playing.,2005,"Action, Adventure, Comedy",6.2,67.0,101,103644,PG,"29,258,869"
After the Sunset,"The story of what happens after a master thief achieves his last big score, when the F.B.I. Agent who promised he'd capture him, is about to do just that.",2004,"Action, Comedy, Crime",6.2,38.0,97,47462,PG-13,"28,331,233"
Walking Tall,"A former U.S. soldier returns to his hometown to find it overrun by crime and corruption, which prompts him to clean house.",2004,"Action, Crime",6.2,44.0,86,75843,PG-13,"45,860,039"
Shanghai Knights,"When a Chinese rebel murders Chon's estranged father and escapes to England, Chon and Roy make their way to London with revenge on their minds.",2003,"Action, Adventure, Comedy",6.2,58.0,114,105884,PG-13,"60,476,872"
Austin Powers in Goldmember,"Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the aptly named villain Goldmember, who is working with Dr. Evil.",2002,"Action, Adventure, Comedy",6.2,62.0,94,208323,PG-13,"213,307,889"
Rush Hour 3,"After an attempted assassination on Ambassador Han, Lee and Carter head to Paris to protect a French woman with knowledge of the Triads' secret leaders.",2007,"Action, Comedy, Crime",6.2,44.0,91,166324,PG-13,"140,125,968"
Johnny English,"After a sudden attack on MI5, Johnny English, Britain's most confident, yet unintelligent spy, becomes Britain's only spy.",2003,"Action, Adventure, Comedy",6.2,51.0,87,159346,PG,"28,082,366"
Reign of Fire,"A brood of fire-breathing dragons emerges from the earth and begins setting everything ablaze, establishing dominance over the planet.",2002,"Action, Adventure, Fantasy",6.2,39.0,101,135441,PG-13,"43,061,982"
Kung Pow: Enter the Fist,A rough-around-the-edges martial arts master seeks revenge for his parents' death.,2002,"Action, Comedy",6.2,14.0,81,46272,PG-13,"16,033,556"
Pearl Harbor,A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.,2001,"Action, Drama, History",6.2,44.0,183,329812,PG-13,"198,542,554"
Pokémon: The First Movie - Mewtwo Strikes Back,"Scientists genetically create a new Pokémon, Mewtwo, but the results are horrific and disastrous.",1998,"Animation, Action, Adventure",6.2,35.0,96,42993,G,"85,744,662"
Small Soldiers,"When missile technology is used to enhance toy action figures, the toys soon begin to take their battle programming too seriously.",1998,"Action, Adventure, Comedy",6.2,,110,98982,PG-13,"54,682,547"
Deep Impact,"A comet is discovered to be on a collision course with Earth. As doomsday nears, the human race prepares for the worst.",1998,"Action, Drama, Sci-Fi",6.2,40.0,120,177410,PG-13,"140,464,664"
The Saint,"Simon Templar (The Saint), is a thief for hire, whose latest job to steal the secret process for cold fusion puts him at odds with a traitor bent on toppling the Russian government, as well as the woman who holds its secret.",1997,"Action, Adventure, Romance",6.2,50.0,116,68232,PG-13,"61,355,436"
The Devil's Own,"A police officer uncovers the real identity of his house-guest, an I.R.A. terrorist in hiding.",1997,"Action, Crime, Drama",6.2,53.0,111,65323,R,"42,868,348"
Alien: Resurrection,"200 years after her death, Ellen Ripley is revived as a powerful human/alien hybrid clone. Along with a crew of space pirates, she must again battle the deadly aliens and stop them from reaching Earth.",1997,"Action, Horror, Sci-Fi",6.2,63.0,109,244949,R,"47,748,610"
Mr. Nice Guy,"A Chinese chef accidentally gets involved with a news reporter who filmed a drug bust that went awry, and is now being chased by gangs who are trying to get the video tape.",1997,"Action, Adventure, Comedy",6.2,,88,27136,PG-13,"12,674,183"
Waterworld,"In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw ""smokers,"" and reluctantly helps a woman and a young girl try to find dry land.",1995,"Action, Adventure, Sci-Fi",6.2,56.0,177,194941,PG-13,"88,246,220"
Blown Away,An Irish bomber escapes from prison and targets a member of the Boston bomb squad.,1994,"Action, Crime, Drama",6.2,,121,31370,R,"30,155,037"
Rising Sun,"When an escort girl is found dead in the offices of a Japanese company in Los Angeles, detectives Web Smith and John Connor act as liaison between the company's executives and the investigating cop Tom Graham.",1993,"Action, Crime, Drama",6.2,56.0,129,45670,R,"63,095,271"
Loaded Weapon 1,"A spoof on Lethal Weapon (1987), other movies, TV commercials etc. 2 unlike LA cops investigate a cocaine in girl scout cookies case.",1993,"Action, Comedy, Crime",6.2,30.0,84,48570,PG-13,"27,979,400"
Hard Target,"A woman hires a drifter as her guide through New Orleans in search of her missing father. In the process, they discover a deadly game of cat and mouse behind his disappearance.",1993,"Action, Crime, Thriller",6.2,63.0,97,51169,R,"32,589,677"
Predator 2,"The Predator returns to Earth, this time to stake a claim on the war-torn streets of a dystopian Los Angeles.",1990,"Action, Horror, Sci-Fi",6.2,46.0,108,160370,R,"30,669,413"
Lionheart,An Ex-French Soldier begins participating in underground street fights in order to make money for his brother's family.,1990,"Action, Crime, Drama",6.2,41.0,108,36335,R,"24,078,196"
Kindergarten Cop,"A tough cop must pose as a kindergarten teacher in order to locate a dangerous criminal's ex-wife, who may hold the key to putting him behind bars.",1990,"Action, Comedy, Crime",6.2,61.0,111,147559,PG-13,"91,457,688"
Dick Tracy,The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.,1990,"Action, Comedy, Crime",6.2,68.0,105,61715,PG,"103,738,726"
The Toxic Avenger,Tromaville has a monstrous new hero. The Toxic Avenger is born when meek mop boy Melvin falls into a vat of toxic waste. Now evildoers will have a lot to lose.,1984,"Action, Comedy, Horror",6.2,42.0,82,28752,R,
Mad Max Beyond Thunderdome,"After being exiled from the most advanced town in post apocalyptic Australia, a drifter travels with a group of abandoned children to rebel against the town's queen.",1985,"Action, Adventure, Sci-Fi",6.2,71.0,107,135902,PG-13,"36,200,000"
The Cannonball Run,"A wide variety of eccentric competitors participate in a wild and illegal cross-country road race. However, the eccentric entrants will do anything to win the road race, including low-down, dirty tricks.",1981,"Action, Comedy, Sport",6.2,28.0,95,36369,PG,"72,179,579"
Moonraker,"James Bond investigates the mid-air theft of a space shuttle, and discovers a plot to commit global genocide.",1979,"Action, Adventure, Sci-Fi",6.2,66.0,126,100342,PG,"70,308,099"
Death Race 2000,"In a dystopian future, a cross country automobile race requires contestants to run down innocent pedestrians to gain points that are tallied based on each kill's brutality.",1975,"Action, Comedy, Sci-Fi",6.2,58.0,80,27785,R,"8,000,000"
Hitman's Wife's Bodyguard,"The bodyguard, Michael Bryce, continues his friendship with assassin, Darius Kincaid, as they try to save Darius' wife Sonia.",2021,"Action, Comedy, Crime",6.1,32.0,100,87208,R,
Crawl I,"A young woman, while attempting to save her father during a category 5 hurricane, finds herself trapped in a flooding house and must fight for her life against alligators.",2019,"Action, Adventure, Horror",6.1,60.0,87,82876,R,"39,014,193"
6 Underground,"Six individuals from all around the globe, each the very best at what they do, have been chosen not only for their skill, but for a unique desire to delete their pasts to change the future.",2019,"Action, Thriller",6.1,41.0,128,171505,R,
The Legend of Tomiris,"This is the story of the life of the great queen of of the steppe - legendary Tomiris. She is destined to become a skillful warrior, survive the loss of close people and unite the Scythian/Saka tribes under her authority.",2019,"Action, Drama, History",6.1,,156,42048,TV-14,
Stuber,A detective recruits his Uber driver into an unexpected night of adventure.,2019,"Action, Comedy, Crime",6.1,42.0,93,47026,R,"22,370,452"
Dora and the Lost City of Gold,"Dora, a teenage explorer, leads her friends on an adventure to save her parents and solve the mystery behind a lost city of gold.",2019,"Action, Adventure, Comedy",6.1,63.0,102,30588,PG,"54,893,567"
Blood Red Sky,A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.,2021,"Action, Adventure, Fantasy",6.1,43.0,121,46480,TV-MA,
Code 8,A super-powered construction worker falls in with a group of criminals in order to raise the funds to help his ill mother.,2019,"Action, Crime, Drama",6.1,48.0,98,39655,Not Rated,
The Protégé,"Rescued as a child by the legendary assassin Moody, Anna is the world's most skilled contract killer. However, when Moody is brutally killed, she vows revenge for the man who taught her everything she knows.",2021,"Action, Thriller",6.1,48.0,109,30136,R,
The Girl in the Spider's Web,"Young computer hacker Lisbeth Salander and journalist Mikael Blomkvist find themselves caught in a web of spies, cybercriminals and corrupt government officials.",2018,"Action, Crime, Drama",6.1,43.0,115,47520,R,"14,841,338"
Ambulance,Two robbers steal an ambulance after their heist goes awry.,2022,"Action, Crime, Drama",6.1,55.0,136,52199,R,
Jurassic World: Fallen Kingdom,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",2018,"Action, Adventure, Sci-Fi",6.1,51.0,128,308767,PG-13,"417,719,760"
Mile 22,"A small team of elite American intelligence officers, part of a top-secret tactical command unit, try to smuggle a mysterious police officer with sensitive information out of Indonesia.",2018,"Action, Thriller",6.1,38.0,94,78566,R,"36,108,758"
Gringo,"GRINGO, a dark comedy mixed with white-knuckle action and dramatic intrigue, explores the battle of survival for businessman Harold Soyinka (David Oyelowo) when he finds himself crossing the line from law-abiding citizen to wanted criminal.",2018,"Action, Comedy, Crime",6.1,46.0,111,30005,R,"4,969,853"
Jack Reacher: Never Go Back,Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name while on the run as a fugitive from the law.,2016,"Action, Crime, Drama",6.1,47.0,118,156581,PG-13,"58,697,076"
American Ultra,A stoner - who is in fact a government agent - is marked as a liability and targeted for extermination. But he's too well-trained and too high for them to handle.,2015,"Action, Comedy",6.1,50.0,96,91216,R,"14,434,604"
Heist III,"A father is without the means to pay for his daughter's medical treatment. As a last resort, he partners with a greedy co-worker to rob a casino. When things go awry they're forced to hijack a city bus.",2015,"Action, Crime, Drama",6.1,37.0,93,30362,R,
Last Knights,A fallen warrior rises against a corrupt and sadistic ruler to avenge his dishonored master.,2015,"Action, Drama, History",6.1,27.0,115,43190,R,
The Huntsman: Winter's War,"Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.",2016,"Action, Adventure, Drama",6.1,35.0,114,108869,PG-13,"48,390,190"
The Expendables 3,"Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates.",2014,"Action, Adventure, Thriller",6.1,35.0,126,181001,PG-13,"39,322,544"
Rampage,"When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago.",2018,"Action, Adventure, Sci-Fi",6.1,45.0,107,164566,PG-13,"101,028,233"
Hit and Run I,Former getaway driver Charles Bronson jeopardizes his Witness Protection Plan identity in order to help his girlfriend get to Los Angeles. The feds and Charles' former gang chase them on the road.,2012,"Action, Adventure, Comedy",6.1,50.0,100,36173,R,"13,746,550"
The Collection II,"A man who escapes from the vicious grips of the serial killer known as ""The Collector"" is then forced to help rescue an innocent girl from the killer's booby-trapped lair.",2012,"Action, Adventure, Horror",6.1,38.0,82,49579,R,"12,842,058"
Snow White and the Huntsman,"In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen.",2012,"Action, Adventure, Drama",6.1,57.0,127,287299,PG-13,"155,332,381"
Welcome to the Punch,"When a notorious criminal is forced to return to London, it gives a detective one last chance to take down the man he's always been after.",2013,"Action, Crime, Thriller",6.1,49.0,99,33422,R,"6,787"
Hobo with a Shotgun,"A homeless vigilante blows away crooked cops, pedophile Santas, and other scumbags with his trusty pump-action shotgun.",2011,"Action, Comedy, Horror",6.1,55.0,86,46266,Not Rated,"703,002"
30 Minutes or Less,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and inform him that he has mere hours to rob a bank or else...",2011,"Action, Comedy, Crime",6.1,49.0,83,100279,R,"37,053,924"
Mortal Engines,"In a post-apocalyptic world where cities ride on wheels and consume each other to survive, two people meet in London and try to stop a conspiracy.",2018,"Action, Adventure, Fantasy",6.1,44.0,128,124108,PG-13,"15,951,040"
I Am Number Four,"Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story.",2011,"Action, Adventure, Sci-Fi",6.1,36.0,111,237088,PG-13,"55,100,437"
"Tomorrow, When the War Began","When their country is invaded and their families are taken, eight unlikely teenagers band together to fight.",2010,"Action, Adventure, Drama",6.1,54.0,104,31190,R,
Hansel & Gretel: Witch Hunters,Brother/sister duo Hansel and Gretel are professional witch-hunters who help innocent villagers. One day they stumble upon a case that could hold the key to their past.,2013,"Action, Fantasy, Horror",6.1,23.0,88,205414,R,"55,703,475"
Ride Along,"Security guard Ben must prove himself to his girlfriend's brother, top police officer James. He rides along James on a 24-hour patrol of Atlanta.",2014,"Action, Comedy, Crime",6.1,41.0,99,113272,PG-13,"134,938,200"
The Lost City,A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.,2022,"Action, Adventure, Comedy",6.1,60.0,112,76777,PG-13,
Blitz,A tough cop is dispatched to take down a serial killer who has been targeting police officers.,2011,"Action, Crime, Thriller",6.1,,97,86945,R,
Broken City,"In a city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed by its most powerful figure: Mayor Nicholas Hostetler.",2013,"Action, Crime, Drama",6.1,49.0,109,80083,R,"19,701,164"
Ironclad,"In thirteenth-century England, a Knights Templar and a few of the Barons men fight to defend Rochester Castle against the tyrannical King John.",2011,"Action, Drama, History",6.1,42.0,121,42100,R,
Seeking Justice,"After his wife is assaulted, a husband enlists the services of a vigilante group to help him settle the score. Then he discovers they want a 'favor' from him in return.",2011,"Action, Crime, Drama",6.1,38.0,105,46358,R,"41,081"
Rambo: Last Blood,Rambo must confront his past and unearth his ruthless combat skills to exact revenge in a final mission.,2019,"Action, Crime, Thriller",6.1,26.0,89,96489,R,"18,872,919"
Crank: High Voltage,Chelios faces a Chinese mobster who has stolen his nearly indestructible heart and replaced it with a battery-powered ticker which requires regular jolts of electricity to keep working.,2009,"Action, Crime, Thriller",6.1,41.0,96,149263,R,"13,630,226"
Justice League,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.",2017,"Action, Adventure, Fantasy",6.1,45.0,120,445347,PG-13,"229,024,295"
Solomon Kane,"A ruthless mercenary renounces violence after learning his soul is bound for hell. When a young girl is kidnapped and her family slain by a sorcerer's murderous cult, he is forced to fight and seek his redemption slaying evil.",2009,"Action, Adventure, Fantasy",6.1,48.0,104,73532,R,
The Sorcerer's Apprentice,"Balthazar Blake, an apprentice of the legendary magician Merlin, must train his old teacher's successor - an introverted but resourceful physics prodigy - in the art of sorcery to prevent the return of Morgana le Fay.",2010,"Action, Adventure, Family",6.1,46.0,109,161514,PG,"63,150,991"
Red State,"Set in Middle America, a group of teens receive an online invitation for sex, though they soon encounter fundamentalists with a much more sinister agenda.",2011,"Action, Crime, Horror",6.1,50.0,88,64460,R,"1,104,682"
Big Stan,A weak con man panics when he learns he's going to prison for fraud. He hires a mysterious martial arts guru who helps transform him into a martial arts expert who can fight off inmates who want to hurt or love him.,2007,"Action, Comedy",6.1,,105,44449,R,
Jumper,A teenager with teleportation abilities suddenly finds himself in the middle of an ancient war between those like him and their sworn annihilators.,2008,"Action, Adventure, Sci-Fi",6.1,35.0,88,304768,PG-13,"80,172,128"
Push,Two young Americans with special abilities must race to find a girl in Hong Kong before a shadowy government organization called Division does.,2009,"Action, Sci-Fi, Thriller",6.1,36.0,111,110941,PG-13,"31,806,100"
The Sentinel,A Secret Service agent is framed as the mole in an assassination attempt on the President. He must clear his name and foil another assassination attempt while on the run from a Secret Service Protective Intelligence Division agent.,2006,"Action, Crime, Thriller",6.1,49.0,108,49679,PG-13,"36,280,697"
Flight of the Phoenix,Survivors of a plane crash in the Mongolian desert work together to build a new plane.,2004,"Action, Adventure, Drama",6.1,47.0,113,54485,PG-13,"21,009,180"
Indiana Jones and the Kingdom of the Crystal Skull,"In 1957, archaeologist and adventurer Dr. Henry ""Indiana"" Jones, Jr. is called back into action and becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.",2008,"Action, Adventure",6.1,65.0,122,449712,PG-13,"317,101,119"
Superman Returns,"Superman returns to Earth after spending five years in space examining his homeworld Krypton. But he finds things have changed while he was gone, and he must once again prove himself important to the world.",2006,"Action, Adventure, Sci-Fi",6.1,72.0,154,282084,PG-13,"200,081,192"
Sky Captain and the World of Tomorrow,"After New York City receives a series of attacks from giant flying robots, a reporter teams up with a pilot in search of their origin, as well as the reason for the disappearances of famous scientists around the world.",2004,"Action, Adventure, Mystery",6.1,64.0,106,84783,PG,"37,762,677"
Resident Evil: Apocalypse,"Alice wakes up in the Raccoon City hospital after the area has been overrun by zombies, and must now make it out of the city before a nuclear bomb is dropped.",2004,"Action, Horror, Sci-Fi",6.1,35.0,94,198017,R,"51,201,453"
Mortal Kombat,MMA fighter Cole Young seeks out Earth's greatest champions in order to stand against the enemies of Outworld in a high stakes battle for the universe.,2021,"Action, Adventure, Fantasy",6.1,44.0,110,168170,R,"42,201,013"
Undisputed,"When heavyweight champion George ""Iceman"" Chambers lands in prison, the resident gangster arranges a boxing match with the reigning prison champ.",2002,"Action, Crime, Drama",6.1,58.0,94,32383,R,"12,398,628"
Die Another Day,"James Bond is sent to investigate the connection between a North Korean terrorist and a diamond mogul, who is funding the development of an international space weapon.",2002,"Action, Adventure, Thriller",6.1,56.0,133,218327,PG-13,"160,942,139"
Windtalkers,"Two U.S. Marines in World War II are assigned to protect Navajo Marines, who use their native language as an unbreakable radio cypher.",2002,"Action, Drama, War",6.1,51.0,134,69243,R,"40,914,068"
Antitrust,A computer programmer's dream job at a hot Portland-based firm turns nightmarish when he discovers his boss has a secret and ruthless means of dispatching anti-trust problems.,2001,"Action, Crime, Drama",6.1,31.0,108,29375,PG-13,"10,965,209"
15 Minutes,A homicide detective and a fire marshal must stop a pair of murderers who commit videotaped crimes to become media darlings.,2001,"Action, Crime, Drama",6.1,34.0,120,50380,R,"24,403,552"
Romeo Must Die,An avenging cop seeks out his brother's killer and falls for the daughter of a businessman who is involved in a money-deal with his father.,2000,"Action, Crime, Thriller",6.1,52.0,115,70365,R,"55,973,336"
Mystery Men,A group of inept amateur superheroes must try to save the day when a supervillain threatens to destroy a major superhero and the city.,1999,"Action, Comedy, Fantasy",6.1,65.0,121,67136,PG-13,"29,762,011"
Men in Black II,Agent Jay is sent to find Agent Kay and restore his memory after the re-appearance of a case from Kay's past.,2002,"Action, Adventure, Comedy",6.1,49.0,88,369727,PG-13,"190,418,803"
Vampires,"Recovering from an ambush that killed his entire team, a vengeful vampire slayer must retrieve an ancient Catholic relic that, should it be acquired by vampires, will allow them to walk in sunlight.",1998,"Action, Horror, Thriller",6.1,42.0,108,58670,R,"20,241,395"
Mission: Impossible II,"IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".",2000,"Action, Adventure, Thriller",6.1,59.0,123,337990,PG-13,"215,409,889"
Mercury Rising,Shadowy elements in the NSA target a nine-year old autistic savant for death when he is able to decipher a top secret code.,1998,"Action, Crime, Drama",6.1,37.0,111,73841,R,"32,940,507"
Sphere,A spaceship is discovered under three hundred years' worth of coral growth at the bottom of the ocean.,1998,"Action, Mystery, Sci-Fi",6.1,35.0,134,106284,PG-13,"37,020,277"
The Replacement Killers,"A troubled hitman seeks aid from a forger to help him get papers to China. However, the drug lord has hired replacements to finish the job, and kill the hitman.",1998,"Action, Crime, Thriller",6.1,42.0,87,28937,R,"18,967,571"
The Postman,A nameless drifter dons a postman's uniform and bag of mail as he begins a quest to inspire hope to the survivors living in post-apocalyptic America.,1997,"Action, Adventure, Drama",6.1,29.0,177,73739,R,"17,626,234"
Murder at 1600,A young woman is murdered in the White House. Homicide detective Regis (Wesley Snipes) investigates while Secret Service works against him. He's assigned agent Chance (Diane Lane). She eventually cooperates after a man's framed.,1997,"Action, Crime, Drama",6.1,47.0,107,30955,R,"25,826,788"
Money Talks,"Sought by police and criminals, a small-time huckster makes a deal with a TV newsman for protection.",1997,"Action, Comedy, Crime",6.1,,97,29519,R,"41,067,398"
Eraser,A Witness Protection specialist becomes suspicious of his co-workers when dealing with a case involving high-tech weapons.,1996,"Action, Crime, Thriller",6.1,56.0,115,110923,R,"101,295,562"
Broken Arrow,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.,1996,"Action, Adventure, Thriller",6.1,61.0,108,98298,R,"70,770,147"
Universal Soldier,Two rival soldiers who were killed in Vietnam are brought back to life in a top secret military experiment that creates superhuman warriors.,1992,"Action, Sci-Fi",6.1,35.0,102,89206,R,"36,299,898"
Red Heat,A tough Russian policeman is forced to partner up with a cocky Chicago police detective when he is sent to Chicago to apprehend a Georgian drug lord who killed his partner and fled the country.,1988,"Action, Comedy, Crime",6.1,61.0,104,70471,R,"34,994,648"
The Karate Kid Part II,"Daniel accompanies his mentor, Mr. Miyagi, to Miyagi's childhood home in Okinawa. Miyagi visits his dying father and confronts his old rival, while Daniel falls in love and inadvertently makes a new rival of his own.",1986,"Action, Family, Sport",6.1,55.0,113,88750,PG,"115,103,979"
Lifeforce,"A race of space vampires arrives in London and infects the populace, beginning an apocalyptic descent into chaos.",1985,"Action, Horror, Mystery",6.1,50.0,101,25722,R,"11,603,545"
The Jewel of the Nile,"When Joan Wilder is abducted while on a trip along the Nile, her boyfriend, Jack Colton, and pal Ralph rush to rescue her and retrieve a fabled jewel.",1985,"Action, Adventure, Comedy",6.1,53.0,106,56804,PG,"75,973,200"
Never Say Never Again,"A S.P.E.C.T.R.E. Agent has stolen two American nuclear warheads, and James Bond must find their targets before they are detonated.",1983,"Action, Adventure, Thriller",6.1,68.0,134,67783,PG,"55,500,000"
Krull,A prince and a fellowship of companions set out to rescue his bride from a fortress of alien invaders who have arrived on their home planet.,1983,"Action, Adventure, Fantasy",6.1,45.0,121,33278,PG,"16,519,460"
Conquest of the Planet of the Apes,"In a futuristic world that has embraced ape slavery, Caesar, the son of the late simians Cornelius and Zira, surfaces after almost twenty years of hiding out from the authorities, and prepares for a slave revolt against humanity.",1972,"Action, Sci-Fi",6.1,49.0,88,32723,PG,"9,810,000"
The Lovebirds,A couple (Issa Rae and Kumail Nanjiani) experiences a defining moment in their relationship when they are unintentionally embroiled in a murder mystery.,2020,"Action, Comedy, Crime",6.0,59.0,86,25835,R,
Gunpowder Milkshake,Three generations of women fight back against those who could take everything from them.,2021,"Action, Thriller",6.0,47.0,114,42432,R,
Birds of Prey,"After splitting with the Joker, Harley Quinn joins superheroines Black Canary, Huntress and Renee Montoya to save a young girl from an evil crime lord.",2020,"Action, Adventure, Comedy",6.0,60.0,109,231461,R,"84,158,461"
Project Power,"When a pill that gives its users unpredictable superpowers for five minutes hits the streets of New Orleans, a teenage dealer and a local cop must team with an ex-soldier to take down the group responsible for its creation.",2020,"Action, Crime, Sci-Fi",6.0,51.0,113,86408,R,
The Spy Who Dumped Me,Best friends Audrey and Morgan unwittingly become entangled in an international conspiracy when one of them discovers that the boyfriend who dumped her was actually a spy.,2018,"Action, Adventure, Comedy",6.0,52.0,117,77040,R,"33,562,069"
Don't Breathe 2,"The sequel is set in the years following the initial deadly home invasion, where Norman Nordstrom (Stephen Lang) lives in quiet solace until his past sins catch up to him.",2021,"Action, Crime, Thriller",6.0,46.0,98,52554,R,"32,638,038"
Captive State,"Set in a Chicago neighborhood nearly a decade after an occupation by an extraterrestrial force, 'Captive State' explores the lives on both sides of the conflict - the collaborators and dissidents.",2019,"Action, Horror, Sci-Fi",6.0,54.0,109,54202,PG-13,"5,958,315"
Hotel Artemis,"Set in riot-torn, near-future Los Angeles, 'Hotel Artemis' follows the Nurse, who runs a secret, members-only emergency room for criminals.",2018,"Action, Crime, Drama",6.0,58.0,94,53073,R,"6,708,147"
